HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
89931,18,20,59.62,-29,49,40.9,2.72,10.67,29.96,-26.38,1.38,1.35,K3III
89937,18,21,2.34,72,44,1.3,3.55,124.11,531.08,-351.59,0.489,0.62,F7Vvar
89962,18,21,18.92,-2,53,49.6,3.23,52.81,-547.57,-700.72,0.941,0.96,K0III-IV
90098,18,23,13.62,-61,29,38.1,4.35,7.76,0.53,1.7,1.462,1.5,M1III SB
90185,18,24,10.35,-34,23,3.5,1.79,22.55,-39.61,-124.05,-0.031,0.01,B9.5III
90422,18,26,58.43,-45,58,6,3.49,13.08,-16.68,-53.33,-0.179,-0.18,B3IV
90496,18,27,58.27,-25,25,16.5,2.82,42.2,-44.81,-186.29,1.025,1.04,K1IIIb
90568,18,28,49.74,-49,4,12.1,4.1,25.6,137.9,-229.14,0.995,1.02,G8/K0III
90595,18,29,11.85,-14,33,56.9,4.67,11.19,3.07,-3.48,0.076,0.1,A1IV/V
90887,18,32,21.31,-39,42,14.1,5.16,14.83,31.98,-37.62,0.079,0.09,A3V
91117,18,35,12.44,-8,14,35.9,3.85,18.72,-18.98,-314.63,1.317,1.28,K2III
91262,18,36,56.19,38,46,58.8,0.03,128.93,201.02,287.46,-0.001,-0.01,A0Vvar
91792,18,43,2.13,-71,25,39.8,4.01,15.55,1.25,-158.29,1.134,1.14,K2III
91875,18,43,46.94,-38,19,23.9,5.11,16.15,1.12,-53.81,0.075,0.09,A0/A1V
91971,18,44,46.34,37,36,18.2,4.34,21.23,29.26,26.57,0.192,0.18,Am
92041,18,45,39.35,-26,59,26.8,3.17,14.14,51.15,0.45,-0.107,-0.1,B8.5III
92175,18,47,10.48,-4,44,52.2,4.22,4.73,-7.71,-15.89,1.087,1.09,G5II...
92202,18,47,28.98,-5,42,18.3,5.38,2.32,-44.09,-31.36,1.28,1.42,K0Ibpvar
92420,18,50,4.79,33,21,45.6,3.52,3.7,1.1,-4.46,0.003,0.02,A8:V comp SB
92609,18,52,13.04,-62,11,15.2,4.22,1.8,-1.33,-13.53,-0.15,-0.14,B2II-III
92791,18,54,30.29,36,53,55,4.22,3.63,-6.73,3.26,1.575,2.6,M4IIvar
92814,18,54,43.12,-15,36,10.9,5.08,1.96,-2.38,-5.64,0.141,0.16,B3II
92855,18,55,15.92,-26,17,47.7,2.05,14.54,13.87,-52.65,-0.134,-0.13,B2.5V
92946,18,56,13.16,4,12,12.7,4.62,24.73,37.69,26.98,0.161,0.2,A5V
92953,18,56,16.97,-42,42,38.2,5.35,10.52,-27.03,-30.48,0.998,0.98,G6III-IV
92989,18,56,40.49,-37,20,35.5,5.36,7.67,8.79,-23.68,-0.147,-0.14,B3V
93015,18,56,57.04,-67,14,0.7,4.4,6,-7.83,16.65,0.53,0.59,F5Ib-II:
93085,18,57,43.78,-21,6,23.8,3.52,8.76,34.91,-12.33,1.151,1.09,G8/K0II/III
93174,18,58,43.47,-37,6,25.5,4.83,33.43,-132.25,-110.45,0.396,0.44,F3IV/V
93194,18,58,56.62,32,41,22.4,3.25,5.14,-2.76,1.77,-0.049,-0.03,B9III
93244,18,59,37.39,15,4,6.5,4.02,21.22,-52.68,-73.81,1.082,1,K2III
93506,19,2,36.72,-29,52,48.4,2.6,36.61,-14.1,3.66,0.062,0.06,A3IV
93542,19,3,6.83,-42,5,42,4.74,17.75,55.74,-45.33,-0.027,-0.02,A0Vn
93683,19,4,40.93,-21,44,28.9,3.76,23.49,76.26,-58.08,1.012,0.98,K0III
93747,19,5,24.61,13,51,49.4,2.99,39.18,-7.04,-95.31,0.014,-0.01,A0Vn
93805,19,6,14.95,-4,52,56.4,3.43,26.05,-19.68,-90.37,-0.096,-0.09,B9Vn
93825,19,6,25.04,-37,3,45.9,4.23,55.89,96.93,-279.67,0.523,0.59,F7IV-V
93864,19,6,56.44,-27,40,11.3,3.32,27.09,-50.79,-250.51,1.169,1.15,K1/K2III
94005,19,8,20.93,-40,29,47.9,4.57,18.67,48.05,-26.84,1.07,1.06,K1III
94114,19,9,28.28,-37,54,15.3,4.11,25.15,85.73,-96.65,0.042,0.03,A0/A1V
94160,19,10,1.75,-39,20,26.5,4.1,6.42,5.89,-36.78,1.163,1.11,K0II/IIICN.
94376,19,12,33.15,67,39,40.7,3.07,32.54,94.49,92.3,0.99,0.94,G9III
94779,19,17,6.11,53,22,5.4,3.8,26.48,60.22,122.93,0.95,0.85,K0III
94820,19,17,38.09,-18,57,10.4,4.88,6.09,-10.05,-10.64,1.013,0.99,K0III
95168,19,21,40.38,-17,50,50.1,3.92,26.79,-26.95,22.24,0.228,0.25,F0III/IV
95294,19,23,13.06,-44,47,58.7,4.27,23.52,92.78,-53.73,0.35,0.42,F2III
95347,19,23,53.15,-40,36,56.3,3.96,19.2,32.67,-120.81,-0.105,-0.1,B8V
95501,19,25,29.75,3,6,52.5,3.36,65.05,253.06,80.67,0.319,0.38,F0IV
